#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:00:48      0     14     38      -      8      5      0      0      0      0    405    210 
 20240215   18:00:49      0     16     38      -      7      4      0      0      0      0    405    210 
 20240215   18:00:50      0     16     38      -      7      4      0      0      0      0    405    210 
 20240215   18:00:51      0     15     38      -      5      3      0      0      0      0    405    210 
 20240215   18:00:52      0     17     38      -     11      6      0      0      0      0    405    210 
 20240215   18:00:53      0     17     38      -      9      5      0      0      0      0    405    210 
 20240215   18:00:54      0     16     38      -      9      6      0      0      0      0    405    210 
 20240215   18:00:55      0     16     38      -      8      5      0      0      0      0    405    210 
 20240215   18:00:56      0     16     38      -      7      6      0      0      0      0    405    210 
 20240215   18:00:57      0     17     38      -     11      6      0      0      0      0    405    210 
 20240215   18:00:58      0     14     38      -      5      3      0      0      0      0    405    210 
 20240215   18:00:59      0     15     38      -      9      5      0      0      0      0    405    210 
 20240215   18:01:00      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:01      0     15     38      -      8      5      0      0      0      0    405    210 
 20240215   18:01:02      0     16     38      -      7      4      0      0      0      0    405    210 
 20240215   18:01:03      0     15     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:04      0     14     38      -      8      5      0      0      0      0    405    210 
 20240215   18:01:05      0     15     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:06      0     15     38      -      7      4      0      0      0      0    405    210 
 20240215   18:01:07      0     14     38      -      6     17      0      0      0      0    405    210 
 20240215   18:01:08      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:09      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:10      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:11      0     15     38      -      7      7      0      0      0      0    405    210 
 20240215   18:01:12      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:13      0     18     38      -      5      4      0      0      0      0    405    270 
 20240215   18:01:14      0     15     38      -      9      5      0      0      0      0    405    270 
 20240215   18:01:15      0     16     38      -     11      5      0      0      0      0    405    210 
 20240215   18:01:16      0     16     38      -      8      5      0      0      0      0    405    210 
 20240215   18:01:17      0     14     38      -     10      5      0      0      0      0    405    210 
 20240215   18:01:18      0     15     38      -      6      3      0      0      0      0    405    210 
 20240215   18:01:19      0     16     38      -      5      3      0      0      0      0    405    210 
 20240215   18:01:20      0     17     38      -     11      6      0      0      0      0    405    210 
 20240215   18:01:21      0     16     38      -      6      9      0      0      0      0    405    210 
 20240215   18:01:22      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:23      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:24      0     15     38      -      5      3      0      0      0      0    405    210 
 20240215   18:01:25      0     17     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:27      0     16     38      -      9      5      0      0      0      0    405    210 
 20240215   18:01:28      0     15     38      -      5      4      0      0      0      0    405    210 
 20240215   18:01:29      0     16     38      -      6      4      0      0      0      0    405    210 
 20240215   18:01:30      0     17     38      -     11      6      0      0      0      0    405    210 
 20240215   18:01:31      0     15     38      -      5      3      0      0      0      0    405    210 
 20240215   18:01:32      0     16     38      -      7      4      0      0      0      0    405    210 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:01:33      0     16     38      -      6      3      0      0      0      0    405    210 
 20240215   18:01:34      0     14     37      -      7      4      0      0      0      0    405    210 
 20240215   18:01:35      0     14     38      -      5      5      0      0      0      0    405    210 
 20240215   18:01:36      0     14     37      -      6      4      0      0      0      0    405    210 
 20240215   18:01:37      0     15     38      -      6      3      0      0      0      0    405    210 
 20240215   18:01:38      0     14     38      -      7      4      0      0      0      0    405    210 
 20240215   18:01:39      0     14     38      -      5      4      0      0      0      0    405    210 
 20240215   18:01:40      0     16     37      -      6      4      0      0      0      0    405    210 
 20240215   18:01:41      0     15     38      -     17      8      0      0      0      0    405    210 
 20240215   18:01:42      0     14     37      -      5      3      0      0      0      0    405    210 
 20240215   18:01:43      0     16     38      -      5      4      0      0      0      0    405    210 
 20240215   18:01:44      0     16     38      -      7      4      0      0      0      0    405    210 
 20240215   18:01:45      0     16     38      -     10      5      0      0      0      0    405    210 
 20240215   18:01:46      0     16     38      -     13      5      0      0      0      0    405    210 
 20240215   18:01:47      0     16     38      -     12      6      0      0      0      0    405    210 
 20240215   18:01:48      0     15     38      -     10      5      0      0      0      0    405    210 
 20240215   18:01:49      0     15     38      -     10      5      0      0      0      0    405    210 
 20240215   18:01:50      0     14     38      -      7      4      0      0      0      0    405    210 
 20240215   18:01:51      0     16     37      -     18      7      0      0      0      0    405    210 
 20240215   18:01:52      0     14     37      -      6      4      0      0      0      0    405    210 
 20240215   18:01:53      0     15     38      -     13      6      0      0      0      0    405    210 
 20240215   18:01:54      0     18     38      -     24      8      0      0      0      0    405    210 
 20240215   18:01:55      0     20     38      -     25      8      0      0      0      0    405    210 
 20240215   18:01:56      0     21     38      -     29      9      0      0      0      0    405    210 
 20240215   18:01:57      0     20     38      -     27      9      0      0      0      0    405    210 
 20240215   18:01:58      0     20     38      -     28      9      0      0      0      0    405    210 
 20240215   18:01:59      0     20     38      -     24      8      0      0      0      0    405    210 
 20240215   18:02:00      0     52     39      -      8      1      0      0      0      0   9251   1725 
 20240215   18:02:01      0     84     39      -      5      0      0      0      0      0   9251   1725 
 20240215   18:02:02      0     65     39      -     15      4      0      0      0      0    810    570 
 20240215   18:02:03      0     27     38      -     14      4      0      0      0      0    405    420 
 20240215   18:02:04      0     22     38      -     24      8      0      0      0      0    405    360 
 20240215   18:02:05      0     24     38      -     26      9      0      0      0      0    405    345 
 20240215   18:02:06      0     23     38      -     32     10      0      0      0      0    405    300 
 20240215   18:02:07      0     22     38      -     28      9      0      0      0      0    405    270 
 20240215   18:02:08      0     22     38      -     29      9      0      0      0      0    405    240 
 20240215   18:02:09      0     21     38      -     25      8      0      0      0      0    405    210 
