#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:31:26      0     15     38      -      6      3      0      0      0      0    405    210 
 20240215   17:31:27      0     15     38      -      8      4      0      0      0      0    405    210 
 20240215   17:31:28      0     17     38      -      9      5      0      0      0      0    405    210 
 20240215   17:31:29      0     16     38      -      8      5      0      0      0      0    405    210 
 20240215   17:31:30      0     17     38      -      5      3      0      0      0      0    405    210 
 20240215   17:31:31      0     16     38      -      7      4      0      0      0      0    405    210 
 20240215   17:31:32      0     17     38      -      6      4      0      0      0      0    405    210 
 20240215   17:31:33      0     17     38      -     10      5      0      0      0      0    405    210 
 20240215   17:31:34      0     15     38      -      6      9      0      0      0      0    405    210 
 20240215   17:31:35      0     15     38      -      8      4      0      0      0      0    405    210 
 20240215   17:31:37      0     15     38      -      5      3      0      0      0      0    405    210 
 20240215   17:31:38      0     16     38      -      5      3      0      0      0      0    405    210 
 20240215   17:31:39      0     16     38      -      9      5      0      0      0      0    405    210 
 20240215   17:31:40      0     17     38      -     15      7      0      0      0      0    405    210 
 20240215   17:31:41      0     17     38      -     11      6      0      0      0      0    405    210 
 20240215   17:31:42      0     15     38      -      7      4      0      0      0      0    405    210 
 20240215   17:31:43      0     16     38      -      9      5      0      0      0      0    405    210 
 20240215   17:31:44      0     15     38      -     10      5      0      0      0      0    405    210 
 20240215   17:31:45      0     15     38      -     14      6      0      0      0      0    405    210 
 20240215   17:31:46      0     19     38      -     24      8      0      0      0      0    405    210 
 20240215   17:31:47      0     19     38      -     23      8      0      0      0      0    405    210 
 20240215   17:31:48      0     19     38      -     23      8      0      0      0      0    405    210 
 20240215   17:31:49      0     20     38      -     24      8      0      0      0      0    405    210 
 20240215   17:31:50      0     20     38      -     25      8      0      0      0      0    405    210 
 20240215   17:31:51      0     19     38      -     24      9      0      0      0      0    405    210 
 20240215   17:31:52      0     19     38      -     23      8      0      0      0      0    405    210 
 20240215   17:31:53      0     19     38      -     22      7      0      0      0      0    405    210 
 20240215   17:31:54      0     19     38      -     22      8      0      0      0      0    405    210 
 20240215   17:31:55      0     18     38      -     25      7      0      0      0      0    405    210 
 20240215   17:31:56      0     20     38      -     23      9      0      0      0      0    405    210 
 20240215   17:31:57      0     20     38      -     22      8      0      0      0      0    405    210 
 20240215   17:31:58      0     19     38      -     22      6      0      0      0      0    405    210 
 20240215   17:31:59      0     52     39      -     14      1      0      0      0      0   9251   1725 
 20240215   17:32:00      0     84     40      -      6      0      0      0      0      0   9251   1725 
 20240215   17:32:01      0     64     39      -     14      5      0      0      0      0    810    585 
 20240215   17:32:02      0     29     38      -     16      5      0      0      0      0    810    450 
 20240215   17:32:03      0     23     38      -     25     13      0      0      0      0    405    375 
 20240215   17:32:04      0     23     38      -     27     10      0      0      0      0    405    330 
 20240215   17:32:05      0     22     38      -     28     10      0      0      0      0    405    285 
 20240215   17:32:06      0     23     38      -     30     10      0      0      0      0    405    270 
 20240215   17:32:07      0     23     38      -     30     10      0      0      0      0    405    240 
 20240215   17:32:08      0     22     38      -     34     10      0      0      0      0    405    240 
 20240215   17:32:09      0     23     38      -     39     15      0      0      0      0    405    240 
 20240215   17:32:10      0     24     38      -     37     12      0      0      0      0    405    225 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:32:11      0     23     38      -     37     12      0      0      0      0    405    225 
 20240215   17:32:12      0     23     38      -     33     11      0      0      0      0    405    225 
 20240215   17:32:13      0     23     38      -     30      9      0      0      0      0    405    210 
 20240215   17:32:14      0     23     38      -     33     12      0      0      0      0    405    210 
 20240215   17:32:15      0     39     39      -     10      2      0      0      0      0   9251   1725 
 20240215   17:32:16      0     84     40      -      7      0      0      0      0      0   9251   1725 
 20240215   17:32:17      0     61     39      -     15      5      0      0      0      0    810    600 
 20240215   17:32:18      0     28     39      -     20      5      0      0      0      0    810    465 
 20240215   17:32:19      0     27     39      -     50     16      0      0      0      0    810    495 
 20240215   17:32:20      0     24     39      -     21      5      0      0      0      0    810    495 
 20240215   17:32:21      0     28     39      -     31      9      0      0      0      0    810    435 
 20240215   17:32:22      0     22     39      -     21      8      0      0      0      0    405    345 
 20240215   17:32:23      0     19     39      -     18      6      0      0      0      0    405    285 
 20240215   17:32:24      0     17     38      -     16      6      0      0      0      0    405    225 
 20240215   17:32:25      0     24     39      -     47     20      0      0      0      0    810    480 
 20240215   17:32:26      0     30     39      -     28      7      0      0      0      0    810    480 
 20240215   17:32:27      0     29     39      -     15      4      0      0      0      0    810    840 
 20240215   17:32:28      0     29     39      -     44     13      0      0      0      0    810    915 
 20240215   17:32:29      0     29     39      -     26     11      0      0      0      0    810    915 
 20240215   17:32:30      0     29     39      -     20      5      0      0      0      0    810    585 
 20240215   17:32:31      0     26     39      -     21      5      0      0      0      0    810    465 
 20240215   17:32:32      0     25     39      -     26     10      0      0      0      0    405    390 
 20240215   17:32:33      0     23     39      -     25      8      0      0      0      0    405    330 
 20240215   17:32:34      0     23     39      -     28      9      0      0      0      0    405    300 
 20240215   17:32:35      0     23     39      -     37     19      0      0      0      0    405    270 
 20240215   17:32:36      0     22     39      -     35      9      0      0      0      0    405    240 
 20240215   17:32:37      0     23     39      -     30      9      0      0      0      0    405    225 
 20240215   17:32:38      0     24     39      -     34     11      0      0      0      0    405    210 
 20240215   17:32:39      0     23     39      -     29      9      0      0      0      0    405    225 
 20240215   17:32:40      0     23     39      -     33     17      0      0      0      0    405    210 
 20240215   17:32:41      0     23     39      -     31     10      0      0      0      0    405    210 
 20240215   17:32:42      0     23     39      -     30     10      0      0      0      0    405    210 
 20240215   17:32:43      0     23     39      -     32     16      0      0      0      0    405    225 
 20240215   17:32:44      0     24     39      -     38     12      0      0      0      0    405    225 
 20240215   17:32:45      0     23     39      -     31      9      0      0      0      0    405    210 
 20240215   17:32:46      0     24     39      -     43     13      0      0      0      0    405    255 
 20240215   17:32:47      0     23     39      -     33     30      0      0      0      0    405    255 
 20240215   17:32:48      0     24     39      -     32      9      0      0      0      0    405    225 
 20240215   17:32:49      0     24     39      -     31     11      0      0      0      0    405    210 
 20240215   17:32:50      0     23     39      -     31      9      0      0      0      0    405    225 
 20240215   17:32:51      0     24     39      -     46     12      0      0      0      0    405    270 
 20240215   17:32:52      0     25     39      -     37     11      0      0      0      0    405    345 
 20240215   17:32:53      0     24     39      -     39     13      0      0      0      0    405    345 
 20240215   17:32:54      0     25     39      -     37     12      0      0      0      0    405    405 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:32:55      0     28     39      -     25      5      0      0      0      0    810    645 
 20240215   17:32:56      0     26     39      -     24      5      0      0      0      0    810    645 
 20240215   17:32:57      0     28     39      -     27      6      0      0      0      0    405    420 
 20240215   17:32:58      0     27     39      -     30      5      0      0      0      0    810    435 
 20240215   17:32:59      0     26     39      -     29      6      0      0      0      0    810    435 
 20240215   17:33:00      0     25     39      -     38     13      0      0      0      0    405    360 
 20240215   17:33:01      0     24     39      -     36     12      0      0      0      0    405    360 
 20240215   17:33:02      0     24     39      -     37     11      0      0      0      0    405    345 
 20240215   17:33:03      0     25     39      -     36     11      0      0      0      0    405    330 
 20240215   17:33:04      0     24     39      -     38     11      0      0      0      0    405    345 
 20240215   17:33:05      0     23     39      -     36     11      0      0      0      0    405    345 
 20240215   17:33:06      0     24     39      -     39     11      0      0      0      0    405    330 
 20240215   17:33:07      0     24     39      -     37     11      0      0      0      0    405    330 
 20240215   17:33:08      0     24     39      -     38     11      0      0      0      0    405    315 
 20240215   17:33:09      0     24     39      -     37     11      0      0      0      0    405    330 
 20240215   17:33:11      0     24     39      -     38     11      0      0      0      0    405    330 
 20240215   17:33:12      0     24     39      -     33     10      0      0      0      0    405    330 
 20240215   17:33:13      0     25     39      -     41     12      0      0      0      0    405    330 
 20240215   17:33:14      0     25     39      -     33     11      0      0      0      0    405    360 
 20240215   17:33:15      0     26     39      -     38     13      0      0      0      0    405    390 
 20240215   17:33:16      0     29     39      -     30      7      0      0      0      0    810    435 
 20240215   17:33:17      0     27     39      -     33      6      0      0      0      0    405    390 
 20240215   17:33:18      0     25     39      -     27      6      0      0      0      0    810    480 
 20240215   17:33:19      0     27     39      -     25      5      0      0      0      0    810    480 
 20240215   17:33:20      0     24     39      -     39     17      0      0      0      0    405    360 
 20240215   17:33:21      0     24     39      -     34     11      0      0      0      0    405    360 
 20240215   17:33:22      0     23     39      -     32      9      0      0      0      0    405    345 
 20240215   17:33:23      0     24     39      -     40     12      0      0      0      0    405    345 
 20240215   17:33:24      0     23     39      -     37     11      0      0      0      0    405    345 
 20240215   17:33:25      0     24     39      -     34     10      0      0      0      0    405    330 
 20240215   17:33:26      0     24     39      -     40     12      0      0      0      0    405    345 
 20240215   17:33:27      0     24     39      -     35     11      0      0      0      0    405    360 
 20240215   17:33:28      0     24     39      -     33     11      0      0      0      0    405    360 
 20240215   17:33:29      0     24     39      -     37     11      0      0      0      0    405    345 
 20240215   17:33:30      0     24     39      -     40     12      0      0      0      0    405    330 
 20240215   17:33:31      0     25     39      -     36     11      0      0      0      0    405    345 
 20240215   17:33:32      0     24     39      -     34     10      0      0      0      0    405    375 
 20240215   17:33:33      0     24     39      -     39     11      0      0      0      0    405    375 
 20240215   17:33:34      0     24     39      -     30     10      0      0      0      0    405    390 
 20240215   17:33:35      0     24     39      -     34     11      0      0      0      0    405    375 
 20240215   17:33:36      0     24     39      -     36     11      0      0      0      0    405    360 
 20240215   17:33:37      0     24     39      -     37     11      0      0      0      0    405    360 
 20240215   17:33:38      0     24     39      -     35     10      0      0      0      0    405    360 
 20240215   17:33:39      0     23     39      -     37     11      0      0      0      0    405    360 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:33:40      0     24     39      -     37     11      0      0      0      0    405    345 
 20240215   17:33:41      0     23     39      -     36     12      0      0      0      0    405    330 
 20240215   17:33:42      0     23     39      -     34     10      0      0      0      0    405    315 
 20240215   17:33:43      0     24     39      -     41     12      0      0      0      0    405    330 
 20240215   17:33:44      0     24     39      -     39     11      0      0      0      0    405    330 
 20240215   17:33:45      0     24     39      -     35     11      0      0      0      0    405    345 
 20240215   17:33:46      0     25     39      -     36     11      0      0      0      0    405    345 
 20240215   17:33:47      0     24     39      -     38     14      0      0      0      0    405    345 
 20240215   17:33:48      0     24     39      -     33     10      0      0      0      0    405    345 
 20240215   17:33:49      0     24     39      -     35     11      0      0      0      0    405    360 
 20240215   17:33:50      0     24     39      -     41     12      0      0      0      0    405    375 
 20240215   17:33:51      0     25     39      -     36     11      0      0      0      0    405    375 
 20240215   17:33:52      0     24     39      -     36     12      0      0      0      0    405    360 
 20240215   17:33:53      0     24     39      -     35     14      0      0      0      0    405    360 
 20240215   17:33:54      0     24     39      -     39     12      0      0      0      0    405    390 
 20240215   17:33:55      0     23     39      -     34     10      0      0      0      0    405    360 
 20240215   17:33:56      0     23     39      -     34     15      0      0      0      0    405    345 
 20240215   17:33:57      0     24     39      -     39     11      0      0      0      0    405    330 
 20240215   17:33:58      0     25     39      -     38     11      0      0      0      0    405    330 
 20240215   17:33:59      0     24     39      -     36     11      0      0      0      0    405    315 
 20240215   17:34:00      0     24     39      -     39     12      0      0      0      0    405    330 
 20240215   17:34:01      0     24     39      -     35     10      0      0      0      0    405    330 
 20240215   17:34:02      0     24     39      -     36     10      0      0      0      0    405    345 
 20240215   17:34:03      0     24     39      -     34     10      0      0      0      0    405    345 
 20240215   17:34:04      0     24     39      -     41     11      0      0      0      0    405    345 
 20240215   17:34:05      0     24     39      -     37     11      0      0      0      0    405    345 
 20240215   17:34:06      0     24     39      -     39     11      0      0      0      0    405    345 
 20240215   17:34:07      0     25     39      -     39     11      0      0      0      0    405    330 
 20240215   17:34:08      0     24     39      -     39     11      0      0      0      0    405    330 
 20240215   17:34:09      0     24     39      -     39     11      0      0      0      0    405    330 
 20240215   17:34:10      0     24     39      -     40     11      0      0      0      0    405    315 
 20240215   17:34:11      0     24     39      -     39     12      0      0      0      0    405    315 
 20240215   17:34:12      0     23     39      -     36     10      0      0      0      0    405    300 
 20240215   17:34:13      0     24     39      -     39     11      0      0      0      0    405    300 
 20240215   17:34:14      0     24     39      -     38     11      0      0      0      0    405    315 
 20240215   17:34:15      0     23     39      -     38     11      0      0      0      0    405    315 
 20240215   17:34:16      0     24     39      -     39     11      0      0      0      0    405    300 
 20240215   17:34:17      0     24     39      -     39     11      0      0      0      0    405    300 
 20240215   17:34:18      0     24     39      -     37     11      0      0      0      0    405    315 
 20240215   17:34:19      0     24     39      -     37     11      0      0      0      0    405    330 
 20240215   17:34:20      0     24     39      -     37     11      0      0      0      0    405    345 
 20240215   17:34:21      0     24     39      -     36     20      0      0      0      0    405    360 
 20240215   17:34:22      0     23     39      -     39     18      0      0      0      0    405    360 
 20240215   17:34:23      0     24     39      -     37     14      0      0      0      0    405    360 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:34:24      0     24     39      -     37     15      0      0      0      0    405    375 
 20240215   17:34:25      0     23     39      -     35     13      0      0      0      0    405    375 
 20240215   17:34:26      0     23     39      -     37     11      0      0      0      0    405    345 
 20240215   17:34:27      0     23     39      -     35     11      0      0      0      0    405    360 
 20240215   17:34:28      0     23     39      -     37     11      0      0      0      0    405    360 
 20240215   17:34:29      0     23     39      -     36     10      0      0      0      0    405    330 
 20240215   17:34:30      0     23     39      -     35     10      0      0      0      0    405    315 
 20240215   17:34:31      0     24     39      -     36     13      0      0      0      0    405    330 
 20240215   17:34:32      0     24     39      -     37     11      0      0      0      0    405    315 
 20240215   17:34:33      0     24     39      -     37     11      0      0      0      0    405    345 
 20240215   17:34:34      0     24     39      -     39     13      0      0      0      0    405    345 
 20240215   17:34:36      0     24     39      -     37     12      0      0      0      0    405    345 
 20240215   17:34:37      0     24     39      -     39     14      0      0      0      0    405    345 
 20240215   17:34:38      0     24     39      -     39     12      0      0      0      0    405    330 
 20240215   17:34:39      0     24     39      -     35     11      0      0      0      0    405    330 
